dataset_id	path	generator	dataset_type	difficulty_level	n_samples	n_clusters	dim	seed	split	fold_id	size_profile	allow_sdgca	base_clusterings	base_k_min	base_k_max	params_json
massive_compact_000	C:\Users\tikho\Downloads\Telegram Desktop\2026_Consensus_Clustering-\datasets\massive_synthetic\massive_compact_000.npz	simple	compact	easy	424	5	3	20260525	train	0	small	true	24	3	7	"{""base_clusterings"": 24, ""base_k_max"": 7, ""base_k_min"": 3, ""base_strategy"": ""mixed"", ""cluster_std"": 0.2969239637192236, ""dim"": 3, ""imbalance_ratio"": 1.2031513450290336, ""n_clusters"": 5, ""n_samples"": 424, ""name"": ""massive_compact_000"", ""seed"": 20260525, ""separation"": 7.302349475977605}"
massive_overlapping_000	C:\Users\tikho\Downloads\Telegram Desktop\2026_Consensus_Clustering-\datasets\massive_synthetic\massive_overlapping_000.npz	simple	overlapping	medium	415	3	10	20261534	train	0	small	true	24	2	5	"{""base_clusterings"": 24, ""base_k_max"": 5, ""base_k_min"": 2, ""base_strategy"": ""mixed"", ""cluster_std"": 1.1092641677816246, ""dim"": 10, ""imbalance_ratio"": 1.4665437010318632, ""n_clusters"": 3, ""n_samples"": 415, ""name"": ""massive_overlapping_000"", ""seed"": 20261534, ""separation"": 2.421774912046181}"
massive_imbalanced_000	C:\Users\tikho\Downloads\Telegram Desktop\2026_Consensus_Clustering-\datasets\massive_synthetic\massive_imbalanced_000.npz	simple	imbalanced	hard	337	5	2	20262543	train	0	small	true	24	3	7	"{""base_clusterings"": 24, ""base_k_max"": 7, ""base_k_min"": 3, ""base_strategy"": ""mixed"", ""cluster_std"": 0.36164515944756787, ""dim"": 2, ""imbalance_ratio"": 7.1628739786628675, ""n_clusters"": 5, ""n_samples"": 337, ""name"": ""massive_imbalanced_000"", ""seed"": 20262543, ""separation"": 4.540016818226684}"
massive_high_dimensional_000	C:\Users\tikho\Downloads\Telegram Desktop\2026_Consensus_Clustering-\datasets\massive_synthetic\massive_high_dimensional_000.npz	simple	high_dimensional	easy	372	7	100	20263552	test	2	small	true	24	5	9	"{""base_clusterings"": 24, ""base_k_max"": 9, ""base_k_min"": 5, ""base_strategy"": ""mixed"", ""cluster_std"": 0.5843127489049275, ""dim"": 100, ""imbalance_ratio"": 1.7069719590397583, ""n_clusters"": 7, ""n_samples"": 372, ""name"": ""massive_high_dimensional_000"", ""seed"": 20263552, ""separation"": 4.19053246018853}"
massive_elongated_000	C:\Users\tikho\Downloads\Telegram Desktop\2026_Consensus_Clustering-\datasets\massive_synthetic\massive_elongated_000.npz	repliclust	elongated	medium	480	3	10	20264561	test	2	small	true	24	2	5	"{""aspect_maxmin"": 6.282325918607749, ""aspect_ref"": 4.7756896649801135, ""base_clusterings"": 24, ""base_k_max"": 5, ""base_k_min"": 2, ""base_strategy"": ""mixed"", ""dim"": 10, ""distribution_proportions"": [0.45, 0.35, 0.2], ""distributions"": [""normal"", ""student_t"", ""lognormal""], ""imbalance_ratio"": 1.9404201362204725, ""max_overlap"": 0.13095579430066634, ""min_overlap"": 0.04257708042008045, ""n_clusters"": 3, ""n_samples"": 480, ""name"": ""massive_elongated_000"", ""radius_maxmin"": 2.18206684246823, ""radius_ref"": 1.0, ""seed"": 20264561}"
massive_density_varied_000	C:\Users\tikho\Downloads\Telegram Desktop\2026_Consensus_Clustering-\datasets\massive_synthetic\massive_density_varied_000.npz	densired	density_varied	hard	482	6	5	20265570	validation	1	small	true	24	4	8	"{""base_clusterings"": 24, ""base_k_max"": 8, ""base_k_min"": 4, ""base_strategy"": ""mixed"", ""branch"": 0.06341369045890655, ""clunum"": 6, ""core_num"": 82, ""data_num"": 482, ""density_factors"": [1.251, 0.476, 1.18, 1.487, 1.231, 0.96], ""dim"": 5, ""distribution"": ""gaussian"", ""domain_size"": 20.0, ""momentum"": 0.35914342290939444, ""name"": ""massive_density_varied_000"", ""noise_ratio"": 0.101903781854392, ""radius"": 0.04560544572194015, ""seed"": 20265570, ""star"": 0.18626721731545115, ""step"": 0.0700385072642755}"
massive_mixed_complex_000	C:\Users\tikho\Downloads\Telegram Desktop\2026_Consensus_Clustering-\datasets\massive_synthetic\massive_mixed_complex_000.npz	repliclust	mixed_complex	easy	340	7	10	20266579	train	0	small	true	24	5	9	"{""aspect_maxmin"": 5.153489689774567, ""aspect_ref"": 5.568464400657329, ""base_clusterings"": 24, ""base_k_max"": 9, ""base_k_min"": 5, ""base_strategy"": ""mixed"", ""dim"": 10, ""distribution_proportions"": [0.3, 0.3, 0.2, 0.2], ""distributions"": [""normal"", ""student_t"", ""exponential"", ""lognormal""], ""imbalance_ratio"": 3.9591122460994144, ""max_overlap"": 0.18823861062881903, ""min_overlap"": 0.1154050535697225, ""n_clusters"": 7, ""n_samples"": 340, ""name"": ""massive_mixed_complex_000"", ""radius_maxmin"": 2.062609056427279, ""radius_ref"": 1.0, ""seed"": 20266579}"
massive_compact_001	C:\Users\tikho\Downloads\Telegram Desktop\2026_Consensus_Clustering-\datasets\massive_synthetic\massive_compact_001.npz	simple	compact	medium	306	7	5	20267588	test	2	small	true	24	5	9	"{""base_clusterings"": 24, ""base_k_max"": 9, ""base_k_min"": 5, ""base_strategy"": ""mixed"", ""cluster_std"": 0.24618931110812614, ""dim"": 5, ""imbalance_ratio"": 1.3767454698499209, ""n_clusters"": 7, ""n_samples"": 306, ""name"": ""massive_compact_001"", ""seed"": 20267588, ""separation"": 6.542507078012353}"
massive_overlapping_001	C:\Users\tikho\Downloads\Telegram Desktop\2026_Consensus_Clustering-\datasets\massive_synthetic\massive_overlapping_001.npz	simple	overlapping	hard	332	7	3	20268597	validation	1	small	true	24	5	9	"{""base_clusterings"": 24, ""base_k_max"": 9, ""base_k_min"": 5, ""base_strategy"": ""mixed"", ""cluster_std"": 1.1073895547834756, ""dim"": 3, ""imbalance_ratio"": 1.0471790425251286, ""n_clusters"": 7, ""n_samples"": 332, ""name"": ""massive_overlapping_001"", ""seed"": 20268597, ""separation"": 2.8189279484972185}"
massive_imbalanced_001	C:\Users\tikho\Downloads\Telegram Desktop\2026_Consensus_Clustering-\datasets\massive_synthetic\massive_imbalanced_001.npz	simple	imbalanced	easy	351	7	5	20269606	test	2	small	true	24	5	9	"{""base_clusterings"": 24, ""base_k_max"": 9, ""base_k_min"": 5, ""base_strategy"": ""mixed"", ""cluster_std"": 0.5744333294199866, ""dim"": 5, ""imbalance_ratio"": 7.884612418179679, ""n_clusters"": 7, ""n_samples"": 351, ""name"": ""massive_imbalanced_001"", ""seed"": 20269606, ""separation"": 5.066651153627959}"
massive_high_dimensional_001	C:\Users\tikho\Downloads\Telegram Desktop\2026_Consensus_Clustering-\datasets\massive_synthetic\massive_high_dimensional_001.npz	simple	high_dimensional	medium	428	5	10	20270615	validation	1	small	true	24	3	7	"{""base_clusterings"": 24, ""base_k_max"": 7, ""base_k_min"": 3, ""base_strategy"": ""mixed"", ""cluster_std"": 0.842721499267762, ""dim"": 10, ""imbalance_ratio"": 2.2540297754563507, ""n_clusters"": 5, ""n_samples"": 428, ""name"": ""massive_high_dimensional_001"", ""seed"": 20270615, ""separation"": 3.374928554766159}"
massive_elongated_001	C:\Users\tikho\Downloads\Telegram Desktop\2026_Consensus_Clustering-\datasets\massive_synthetic\massive_elongated_001.npz	repliclust	elongated	hard	497	7	5	20271624	train	0	small	true	24	5	9	"{""aspect_maxmin"": 4.884675200617407, ""aspect_ref"": 5.809374535011244, ""base_clusterings"": 24, ""base_k_max"": 9, ""base_k_min"": 5, ""base_strategy"": ""mixed"", ""dim"": 5, ""distribution_proportions"": [0.45, 0.35, 0.2], ""distributions"": [""normal"", ""student_t"", ""lognormal""], ""imbalance_ratio"": 1.9201016195927416, ""max_overlap"": 0.13995192325660183, ""min_overlap"": 0.06764906425953578, ""n_clusters"": 7, ""n_samples"": 497, ""name"": ""massive_elongated_001"", ""radius_maxmin"": 2.512651122298583, ""radius_ref"": 1.0, ""seed"": 20271624}"
massive_density_varied_001	C:\Users\tikho\Downloads\Telegram Desktop\2026_Consensus_Clustering-\datasets\massive_synthetic\massive_density_varied_001.npz	densired	density_varied	easy	362	6	3	20272633	train	0	small	true	24	4	8	"{""base_clusterings"": 24, ""base_k_max"": 8, ""base_k_min"": 4, ""base_strategy"": ""mixed"", ""branch"": 0.05095913935160794, ""clunum"": 6, ""core_num"": 121, ""data_num"": 362, ""density_factors"": [1.721, 1.46, 1.94, 1.666, 1.415, 1.363], ""dim"": 3, ""distribution"": ""uniform"", ""domain_size"": 20.0, ""momentum"": 0.06033921346446771, ""name"": ""massive_density_varied_001"", ""noise_ratio"": 0.13505672740281294, ""radius"": 0.033483760635442505, ""seed"": 20272633, ""star"": 0.024232947053301725, ""step"": 0.05356760363676804}"
massive_mixed_complex_001	C:\Users\tikho\Downloads\Telegram Desktop\2026_Consensus_Clustering-\datasets\massive_synthetic\massive_mixed_complex_001.npz	repliclust	mixed_complex	medium	515	7	20	20273642	validation	1	small	true	24	5	9	"{""aspect_maxmin"": 5.150678037911783, ""aspect_ref"": 5.93251824912984, ""base_clusterings"": 24, ""base_k_max"": 9, ""base_k_min"": 5, ""base_strategy"": ""mixed"", ""dim"": 20, ""distribution_proportions"": [0.3, 0.3, 0.2, 0.2], ""distributions"": [""normal"", ""student_t"", ""exponential"", ""lognormal""], ""imbalance_ratio"": 3.7980491961957434, ""max_overlap"": 0.32456103853333423, ""min_overlap"": 0.11368644755473326, ""n_clusters"": 7, ""n_samples"": 515, ""name"": ""massive_mixed_complex_001"", ""radius_maxmin"": 2.332839746798923, ""radius_ref"": 1.0, ""seed"": 20273642}"
massive_compact_002	C:\Users\tikho\Downloads\Telegram Desktop\2026_Consensus_Clustering-\datasets\massive_synthetic\massive_compact_002.npz	simple	compact	hard	393	4	2	20274651	validation	1	small	true	24	2	6	"{""base_clusterings"": 24, ""base_k_max"": 6, ""base_k_min"": 2, ""base_strategy"": ""mixed"", ""cluster_std"": 0.34090991236813395, ""dim"": 2, ""imbalance_ratio"": 1.3762148894541988, ""n_clusters"": 4, ""n_samples"": 393, ""name"": ""massive_compact_002"", ""seed"": 20274651, ""separation"": 7.8563355595818125}"
massive_overlapping_002	C:\Users\tikho\Downloads\Telegram Desktop\2026_Consensus_Clustering-\datasets\massive_synthetic\massive_overlapping_002.npz	simple	overlapping	easy	304	3	2	20275660	test	2	small	true	24	2	5	"{""base_clusterings"": 24, ""base_k_max"": 5, ""base_k_min"": 2, ""base_strategy"": ""mixed"", ""cluster_std"": 0.999189208431069, ""dim"": 2, ""imbalance_ratio"": 1.0808791289838742, ""n_clusters"": 3, ""n_samples"": 304, ""name"": ""massive_overlapping_002"", ""seed"": 20275660, ""separation"": 2.346697818272675}"
massive_imbalanced_002	C:\Users\tikho\Downloads\Telegram Desktop\2026_Consensus_Clustering-\datasets\massive_synthetic\massive_imbalanced_002.npz	simple	imbalanced	medium	448	7	2	20276669	validation	1	small	true	24	5	9	"{""base_clusterings"": 24, ""base_k_max"": 9, ""base_k_min"": 5, ""base_strategy"": ""mixed"", ""cluster_std"": 0.5945947409151269, ""dim"": 2, ""imbalance_ratio"": 3.257118492133644, ""n_clusters"": 7, ""n_samples"": 448, ""name"": ""massive_imbalanced_002"", ""seed"": 20276669, ""separation"": 3.962075359322638}"
massive_high_dimensional_002	C:\Users\tikho\Downloads\Telegram Desktop\2026_Consensus_Clustering-\datasets\massive_synthetic\massive_high_dimensional_002.npz	simple	high_dimensional	hard	312	6	100	20277678	train	0	small	true	24	4	8	"{""base_clusterings"": 24, ""base_k_max"": 8, ""base_k_min"": 4, ""base_strategy"": ""mixed"", ""cluster_std"": 0.6700839249829431, ""dim"": 100, ""imbalance_ratio"": 2.4236802319193282, ""n_clusters"": 6, ""n_samples"": 312, ""name"": ""massive_high_dimensional_002"", ""seed"": 20277678, ""separation"": 3.8379276993357614}"
massive_elongated_002	C:\Users\tikho\Downloads\Telegram Desktop\2026_Consensus_Clustering-\datasets\massive_synthetic\massive_elongated_002.npz	repliclust	elongated	easy	414	4	2	20278687	validation	1	small	true	24	2	6	"{""aspect_maxmin"": 5.21954905919157, ""aspect_ref"": 5.383445807496374, ""base_clusterings"": 24, ""base_k_max"": 6, ""base_k_min"": 2, ""base_strategy"": ""mixed"", ""dim"": 2, ""distribution_proportions"": [0.45, 0.35, 0.2], ""distributions"": [""normal"", ""student_t"", ""lognormal""], ""imbalance_ratio"": 2.7697612784799928, ""max_overlap"": 0.26059744691554, ""min_overlap"": 0.0711466920421371, ""n_clusters"": 4, ""n_samples"": 414, ""name"": ""massive_elongated_002"", ""radius_maxmin"": 2.425346037835454, ""radius_ref"": 1.0, ""seed"": 20278687}"
massive_density_varied_002	C:\Users\tikho\Downloads\Telegram Desktop\2026_Consensus_Clustering-\datasets\massive_synthetic\massive_density_varied_002.npz	densired	density_varied	medium	403	6	2	20279696	test	2	small	true	24	4	8	"{""base_clusterings"": 24, ""base_k_max"": 8, ""base_k_min"": 4, ""base_strategy"": ""mixed"", ""branch"": 0.012328455202372473, ""clunum"": 6, ""core_num"": 129, ""data_num"": 403, ""density_factors"": [1.103, 1.292, 1.427, 1.67, 1.481, 1.066], ""dim"": 2, ""distribution"": ""uniform"", ""domain_size"": 20.0, ""momentum"": 0.04682939265265178, ""name"": ""massive_density_varied_002"", ""noise_ratio"": 0.04260685325573042, ""radius"": 0.03285816685587327, ""seed"": 20279696, ""star"": 0.15562113405654782, ""step"": 0.06228667404102216}"
massive_mixed_complex_002	C:\Users\tikho\Downloads\Telegram Desktop\2026_Consensus_Clustering-\datasets\massive_synthetic\massive_mixed_complex_002.npz	repliclust	mixed_complex	hard	526	3	10	20280705	test	2	small	true	24	2	5	"{""aspect_maxmin"": 7.457398918255601, ""aspect_ref"": 5.495004803427389, ""base_clusterings"": 24, ""base_k_max"": 5, ""base_k_min"": 2, ""base_strategy"": ""mixed"", ""dim"": 10, ""distribution_proportions"": [0.3, 0.3, 0.2, 0.2], ""distributions"": [""normal"", ""student_t"", ""exponential"", ""lognormal""], ""imbalance_ratio"": 5.414561867969532, ""max_overlap"": 0.3315355487111238, ""min_overlap"": 0.04123502990482291, ""n_clusters"": 3, ""n_samples"": 526, ""name"": ""massive_mixed_complex_002"", ""radius_maxmin"": 2.803693854919123, ""radius_ref"": 1.0, ""seed"": 20280705}"
